artist_name,album_name,track_name,search_term,track_uri,t_uri,genres,filtered_genres,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Soundgarden,ultramega,Flower,"Soundgarden, Flower",spotify:track:44OxoDksTnkbNXW9OxiHgg,44OxoDksTnkbNXW9OxiHgg,alternative metal|alternative rock|grunge|hard rock|modern rock|nu metal|post-grunge|rock,metal|rock,spotify:track:44OxoDksTnkbNXW9OxiHgg,0.00248,0.469,0.792,0.0237,0.251,-5.358,0.0554,0.451514649,0.351
Johann Sebastian Bach,The Cello Suites - Inspired by Bach - Yo Yo Ma - Disk 1,#NAME?,"Johann Sebastian Bach, #NAME?",spotify:track:2zC5lOuecQwGjxO9gYRgS1,2zC5lOuecQwGjxO9gYRgS1,baroque|classical|early music|german baroque,classical,spotify:track:2zC5lOuecQwGjxO9gYRgS1,0.925,0.319,0.0558,0.00039,0.116,-19.992,0.0473,0.615597551,0.223
Westlife,Now That's What I Call Music! Vol. 63,Amazing,"Westlife, Amazing",spotify:track:0yehfLw05bDDKHS4Tdl01G,0yehfLw05bDDKHS4Tdl01G,boy band|dance pop|europop,pop|dance,spotify:track:0yehfLw05bDDKHS4Tdl01G,0.109,0.617,0.705,0,0.24,-4.407,0.0272,0.434587665,0.669
Big Head Todd And The Monsters,Rocksteady,Beautiful,"Big Head Todd And The Monsters, Beautiful",spotify:track:0cvCArAiYZcWg1v0DRCxFC,0cvCArAiYZcWg1v0DRCxFC,jam band|pop rock,pop|rock,spotify:track:0cvCArAiYZcWg1v0DRCxFC,0.00118,0.517,0.563,0.00224,0.0833,-8.32,0.122,0.779425137,0.734
Commodores,Motown 50 Fanthology,Brick House,"Commodores, Brick House",spotify:track:1rwT5Mop0fecEDUFyOyEn9,1rwT5Mop0fecEDUFyOyEn9,adult standards|disco|funk|mellow gold|motown|quiet storm|soft rock|soul,rock|soul|disco,spotify:track:1rwT5Mop0fecEDUFyOyEn9,0.031,0.882,0.909,0.000102,0.0793,-4.2,0.0943,0.48195097,0.824
Pernice Brothers,Overcome By Happiness,All I Know,"Pernice Brothers, All I Know",spotify:track:6Pu1oVKy2moQgP7qZPvj9Y,6Pu1oVKy2moQgP7qZPvj9Y,alternative pop|jangle pop|melancholia|power pop,pop,spotify:track:6Pu1oVKy2moQgP7qZPvj9Y,0.882,0.317,0.189,0,0.147,-13.036,0.0368,0.459599647,0.23
Three Legged Fox,We Are Electric,Shadows,"Three Legged Fox, Shadows",spotify:track:1q96HEqMVP6PHuPM3WQFXP,1q96HEqMVP6PHuPM3WQFXP,reggae rock|west coast reggae,rock,spotify:track:1q96HEqMVP6PHuPM3WQFXP,0.00938,0.641,0.697,0,0.342,-5.598,0.0295,0.510591123,0.583
Charles Mingus,Live In Stuttgart 1964 Vol. 1,These Foolish Things,"Charles Mingus, These Foolish Things",spotify:track:4t113ure4ql0Ccxxd9yLer,4t113ure4ql0Ccxxd9yLer,avant-garde jazz|bebop|contemporary post-bop|cool jazz|electric bass|free jazz|hard bop|jazz|jazz double bass|jazz fusion,jazz,spotify:track:4t113ure4ql0Ccxxd9yLer,0.983,0.464,0.106,0.893,0.214,-23.237,0.0388,0.465780975,0.526
Tarwater,The Needle Was Travelling,The People,"Tarwater, The People",spotify:track:0JdsTiOFxqBTdKIW36M6HV,0JdsTiOFxqBTdKIW36M6HV,german electronica|indie electronica,electronica|indie,spotify:track:0JdsTiOFxqBTdKIW36M6HV,0.434,0.675,0.589,0.0686,0.0749,-7.075,0.0344,0.416617022,0.548
Ufomammut,Idolum,Nero,"Ufomammut, Nero",spotify:track:66NaOArnbmjlRzGSIMXwNx,66NaOArnbmjlRzGSIMXwNx,doom metal|drone metal|italian doom metal|italian metal|italian stoner rock|post-doom metal|post-metal|psychedelic doom|sludge metal|space rock|stoner metal|stoner rock,metal|rock,spotify:track:66NaOArnbmjlRzGSIMXwNx,0.438,0.441,0.669,0.774,0.122,-11.762,0.0412,0.569040506,0.127
Post,Mao Disney Live,Instrumental,"Post, Instrumental",spotify:track:3mrE0pFzyIQqFs3cMUimY4,3mrE0pFzyIQqFs3cMUimY4,dfw rap|melodic rap|rap,rap,spotify:track:3mrE0pFzyIQqFs3cMUimY4,0.308,0.801,0.703,0.842,0.123,-4.996,0.0549,0.537538129,0.662
Syd Barrett,Crazy Diamond (The Complete Recordings),Dominoes,"Syd Barrett, Dominoes",spotify:track:3anMhJro6Bwrut4bHkte95,3anMhJro6Bwrut4bHkte95,art rock|classic rock|experimental|outsider|psychedelic folk|psychedelic rock,rock|folk,spotify:track:3anMhJro6Bwrut4bHkte95,0.271,0.375,0.336,0.76,0.0868,-13.781,0.0423,0.441812652,0.483
