artist_name,album_name,track_name,search_term,track_uri,t_uri,genres,filtered_genres,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Gospel Gangstaz,Do or Die,Do or Die,"Gospel Gangstaz, Do or Die",spotify:track:79ay0DqvhfDlh9tzhVFto3,79ay0DqvhfDlh9tzhVFto3,christian hip hop|gospel rap,hip hop|rap,spotify:track:79ay0DqvhfDlh9tzhVFto3,0.0693,0.832,0.583,1.77E-06,0.0473,-5.667,0.197,0.416617022,0.441
Centory,BRAVO Hits 08 CD 1,Point Of No Return,"Centory, Point Of No Return",spotify:track:7wFu8IQ8jtfFYlwj9pPBQ1,7wFu8IQ8jtfFYlwj9pPBQ1,bubblegum dance|eurodance|hip house,dance,spotify:track:7wFu8IQ8jtfFYlwj9pPBQ1,0.00128,0.592,0.906,0.000135,0.213,-6.995,0.0593,0.635440509,0.255
Baskiria,A Hungarian Tribute To Burzum - Life Has New Meaning,War,"Baskiria, War",spotify:track:7gCpFhLUhOaE3FT1Ap94YH,7gCpFhLUhOaE3FT1Ap94YH,hungarian black metal,metal,spotify:track:7gCpFhLUhOaE3FT1Ap94YH,6.77E-06,0.226,0.979,0.89,0.129,-6.317,0.144,0.452298513,0.264
Herman Brood,My Way: The Hits,When I Get Home,"Herman Brood, When I Get Home",spotify:track:2FpzNTKIYeguorD3ytKzQs,2FpzNTKIYeguorD3ytKzQs,dutch indie|dutch rock|nederpop,pop|rock|indie,spotify:track:2FpzNTKIYeguorD3ytKzQs,0.907,0.607,0.14,1.70E-06,0.107,-15.936,0.31,0.522711901,0.57
Monster Rally,"Color Sky 7\"",Holiday
4536403,1286767553,CA,24,m,78278,Monster Rally,Color Sky 7\""""",Holiday,"Monster Rally, Holiday",spotify:track:2CTWtMB6hi9Ew3ydmavgX9,2CTWtMB6hi9Ew3ydmavgX9,chillwave|indie dream pop|indietronica,pop|indie,spotify:track:2CTWtMB6hi9Ew3ydmavgX9,0.634,0.408,0.653,0.86,0.136,-12.22,0.0279,0.511061442,0.391
Van Morrison,Tell Me Something,One Of These Days,"Van Morrison, One Of These Days",spotify:track:4RUt2kCDt51fAqg0QcBP8S,4RUt2kCDt51fAqg0QcBP8S,classic rock|folk|folk rock|mellow gold|rock|roots rock|singer-songwriter|soft rock,rock|folk,spotify:track:4RUt2kCDt51fAqg0QcBP8S,0.708,0.669,0.399,0.000168,0.133,-8.623,0.0328,0.45450677,0.544
Eternal,Greatest Hits Collection 90's (CD 6),Stay,"Eternal, Stay",spotify:track:3DCAjSZiLK127tGL0URVGE,3DCAjSZiLK127tGL0URVGE,bubblegum dance|dance pop|europop|girl group|new wave pop,pop|dance,spotify:track:3DCAjSZiLK127tGL0URVGE,0.00411,0.591,0.727,1.53E-06,0.0289,-8.058,0.054,0.441328896,0.846
Minnie Riperton,LateNightTales,Reasons,"Minnie Riperton, Reasons",spotify:track:1R6D7X8mDFoFJN7pQYu4Dn,1R6D7X8mDFoFJN7pQYu4Dn,classic soul|disco|funk|jazz funk|motown|neo soul|quiet storm|soul,jazz|soul|disco,spotify:track:1R6D7X8mDFoFJN7pQYu4Dn,0.589,0.508,0.755,0,0.64,-7.906,0.0998,0.376846,0.813
Asheru & Blue Black,48 Months,Better,"Asheru & Blue Black, Better",spotify:track:1GWtmJcqrUgqrzOwo8jpQx,1GWtmJcqrUgqrzOwo8jpQx,jazz rap,jazz|rap,spotify:track:1GWtmJcqrUgqrzOwo8jpQx,0.00434,0.847,0.596,0.835,0.0955,-13.527,0.0757,0.423635965,0.38
Roy Orbison,The Soul of Rock and Roll,Mama,"Roy Orbison, Mama",spotify:track:2BtBFfJp78YJ7BFVz3IAWZ,2BtBFfJp78YJ7BFVz3IAWZ,adult standards|brill building pop|bubblegum pop|classic rock|folk rock|mellow gold|rock|rock-and-roll|rockabilly,pop|rock|folk,spotify:track:2BtBFfJp78YJ7BFVz3IAWZ,0.897,0.38,0.159,0.0137,0.113,-15.549,0.0279,0.365338876,0.243
Magnum,Breath of Life,Everyday,"Magnum, Everyday",spotify:track:57W6htDJVAS4k7rjLphByi,57W6htDJVAS4k7rjLphByi,album rock|glam metal|hard rock|melodic hard rock|metal,metal|rock,spotify:track:57W6htDJVAS4k7rjLphByi,0.00725,0.485,0.749,7.52E-06,0.27,-7.087,0.0304,0.389611786,0.395
Big Country,Restless Natives & Rarities,Promised Land,"Big Country, Promised Land",spotify:track:57DvPoS5FVRtpP8Ddra2of,57DvPoS5FVRtpP8Ddra2of,celtic rock|dance rock|new romantic|new wave|new wave pop|scottish new wave|scottish rock,pop|rock|dance,spotify:track:57DvPoS5FVRtpP8Ddra2of,3.23E-05,0.47,0.973,0.000102,0.173,-4.616,0.0855,0.555190748,0.552
Philip Glass,The Illusionist (Music from the Film),The Chase,"Philip Glass, The Chase",spotify:track:1wsWTpdUQnnSRq8c5JlUEr,1wsWTpdUQnnSRq8c5JlUEr,american contemporary classical|classical|compositional ambient|contemporary classical|drone|minimalism|soundtrack,classical,spotify:track:1wsWTpdUQnnSRq8c5JlUEr,0.869,0.263,0.167,0.948,0.103,-19.683,0.0382,0.561837915,0.0542
Poster Children,No More Songs About Sleep and Fire,Jane,"Poster Children, Jane",spotify:track:6CJbmUwjQ366BUZU78Dk7X,6CJbmUwjQ366BUZU78Dk7X,alternative pop,pop,spotify:track:6CJbmUwjQ366BUZU78Dk7X,3.19E-06,0.254,0.867,0.922,0.217,-6.221,0.056,0.790712779,0.7
Evershine,Renewal,The Storm,"Evershine, The Storm",spotify:track:1HLiRjDg9CQLIkwMaocWLD,1HLiRjDg9CQLIkwMaocWLD,melodic power metal,metal,spotify:track:1HLiRjDg9CQLIkwMaocWLD,4.38E-06,0.392,0.947,6.65E-06,0.315,-3.264,0.065,0.414453557,0.225
Sinner,Comin Out Fighting - Dangerous,Rebel Yell,"Sinner, Rebel Yell",spotify:track:6pbiwEXtJeSbL7VxzXyFmS,6pbiwEXtJeSbL7VxzXyFmS,german hard rock|german metal|neo-trad metal,metal|rock,spotify:track:6pbiwEXtJeSbL7VxzXyFmS,0.00678,0.477,0.843,0.00294,0.355,-8.505,0.033,0.714870573,0.704
Pay money To my Pain,Remember the name,Hourglass,"Pay money To my Pain, Hourglass",spotify:track:23S0PM0UKGtqfwtXusg2g0,23S0PM0UKGtqfwtXusg2g0,j-metal|j-rock|japanese post-hardcore|japanese punk rock|visual kei,metal|rock,spotify:track:23S0PM0UKGtqfwtXusg2g0,0.03,0.321,0.508,0.000526,0.214,-7.433,0.0315,0.563907316,0.103
Soap & Skin,Lovetune For Vacuum,Cry Wolf,"Soap & Skin, Cry Wolf",spotify:track:6tBuxO1ZNxp22eZ1ZJDE2S,6tBuxO1ZNxp22eZ1ZJDE2S,art pop|austrian pop|melancholia|vienna indie,pop|indie,spotify:track:6tBuxO1ZNxp22eZ1ZJDE2S,0.934,0.446,0.23,0.0143,0.236,-13.088,0.0284,0.435846327,0.163
Manowar,Hell On Stage Live (CD 2),Sting of the Bumblebee,"Manowar, Sting of the Bumblebee",spotify:track:3ng97Bz8Uk6A1AKFdySrGP,3ng97Bz8Uk6A1AKFdySrGP,comic metal|hard rock|metal|power metal|rock|speed metal,metal|rock,spotify:track:3ng97Bz8Uk6A1AKFdySrGP,0.000228,0.286,0.8,0.783,0.12,-11.582,0.112,0.455568346,0.453
Airbourne,No Guts No Glory,No Way but the Hard Way,"Airbourne, No Way but the Hard Way",spotify:track:2S7kvwxfmgqpsd4whf4wNg,2S7kvwxfmgqpsd4whf4wNg,glam metal|hard rock|metal|rock|wrestling,metal|rock,spotify:track:2S7kvwxfmgqpsd4whf4wNg,0.00126,0.569,0.948,0.0378,0.0224,-3.216,0.065,0.519760093,0.524
Sonicflood,Resonate,Fuel,"Sonicflood, Fuel",spotify:track:7ziuONxtLePJqzXrDgnnpt,7ziuONxtLePJqzXrDgnnpt,ccm|christian alternative rock|christian music|worship,rock,spotify:track:7ziuONxtLePJqzXrDgnnpt,0.0874,0.467,0.596,3.43E-06,0.0797,-7.711,0.0268,0.407362947,0.175
Wild Bill Ricketts,West Wind,Stratosphere,"Wild Bill Ricketts, Stratosphere",spotify:track:5UKWRzrQWfuGWrKSU9bepN,5UKWRzrQWfuGWrKSU9bepN,nz indie|wellington indie,indie,spotify:track:5UKWRzrQWfuGWrKSU9bepN,0.793,0.512,0.591,0.838,0.168,-9.304,0.0248,0.447940229,0.0768
Milk Inc.,Apocalypse Cow,Oceans,"Milk Inc., Oceans",spotify:track:7ltuYzglTn55vgghxwsUek,7ltuYzglTn55vgghxwsUek,belgian dance|eurodance|europop,pop|dance,spotify:track:7ltuYzglTn55vgghxwsUek,0.0105,0.735,0.872,0.000415,0.479,-7.016,0.04,0.62275087,0.319
Miles Davis,Boplicity,Budo,"Miles Davis, Budo",spotify:track:1BKp2En4K35hf0KQ8oPAlZ,1BKp2En4K35hf0KQ8oPAlZ,bebop|contemporary post-bop|cool jazz|hard bop|jazz|jazz fusion|jazz trumpet,jazz,spotify:track:1BKp2En4K35hf0KQ8oPAlZ,0.852,0.5,0.286,0.00278,0.216,-15.187,0.0743,0.536068944,0.771
Triglav,When The Sun Is Rising Above The Earth…,Full Moon,"Triglav, Full Moon",spotify:track:50rf7BqTB6OXmXDWxmCyCb,50rf7BqTB6OXmXDWxmCyCb,deep folk metal|slavic metal,metal|folk,spotify:track:50rf7BqTB6OXmXDWxmCyCb,0.114,0.205,0.681,0.000384,0.126,-7.353,0.0442,0.403174873,0.531
Low,Transmission EP,Instrumental,"Low, Instrumental",spotify:track:4WdZarIfiInZumn3YSsYD3,4WdZarIfiInZumn3YSsYD3,ukrainian hip hop,hip hop,spotify:track:4WdZarIfiInZumn3YSsYD3,0.203,0.487,0.766,0.928,0.167,-7.682,0.0622,0.806264641,0.144
Mezzoforte,Anniversary Edition,Summer,"Mezzoforte, Summer",spotify:track:5xdhSK8wu8iKdWG3QB6Uf4,5xdhSK8wu8iKdWG3QB6Uf4,icelandic jazz|jazz funk|jazz fusion|smooth jazz,jazz,spotify:track:5xdhSK8wu8iKdWG3QB6Uf4,0.29,0.657,0.821,0.881,0.0524,-10.832,0.0341,0.471666674,0.857
Dark Horizon,Angel Secret Masquerade,Liar,"Dark Horizon, Liar",spotify:track:645rnzaXgf4r3kPVklApUD,645rnzaXgf4r3kPVklApUD,italian power metal,metal,spotify:track:645rnzaXgf4r3kPVklApUD,0.000398,0.49,0.955,2.30E-06,0.271,-4.051,0.0502,0.497529708,0.631
Virginia Coalition,Home This Year,Lately,"Virginia Coalition, Lately",spotify:track:2ipM6X38YDNLXQzjwKaFcs,2ipM6X38YDNLXQzjwKaFcs,acoustic pop|neo mellow,pop,spotify:track:2ipM6X38YDNLXQzjwKaFcs,0.0598,0.448,0.789,0,0.632,-5.174,0.045,0.769866474,0.872
CocoRosie,Live,Jesus Loves Me,"CocoRosie, Jesus Loves Me",spotify:track:6mmKSW9AO2D2gm6c8tsRBm,6mmKSW9AO2D2gm6c8tsRBm,art pop|electronica|folktronica|freak folk|new weird america,pop|folk|electronica,spotify:track:6mmKSW9AO2D2gm6c8tsRBm,0.909,0.519,0.212,0,0.33,-8.926,0.0385,0.385513297,0.227
Suede,Bloodsports,Faultlines,"Suede, Faultlines",spotify:track:539N1TyyRBz5u8xx3RHmKR,539N1TyyRBz5u8xx3RHmKR,britpop|pop rock|rock,pop|rock,spotify:track:539N1TyyRBz5u8xx3RHmKR,0.419,0.239,0.604,0.00267,0.0674,-4.545,0.0322,0.474510981,0.124
Burzum,Burzum Aske,War,"Burzum, War",spotify:track:5fwkL23a23iIMUsOOABVc3,5fwkL23a23iIMUsOOABVc3,ambient black metal|atmospheric black metal|autonomous black metal|black metal|dungeon synth|metal|norwegian black metal|norwegian metal|pagan black metal|symphonic black metal|tolkien metal,metal,spotify:track:5fwkL23a23iIMUsOOABVc3,0.0077,0.178,0.785,0.0161,0.239,-11.093,0.0476,0.788070037,0.535
Maroon 5,Songs About Jane (2003),Not Coming Home,"Maroon 5, Not Coming Home",spotify:track:7sT621Iv8V6bMv6Z5B16PO,7sT621Iv8V6bMv6Z5B16PO,pop|pop rock,pop|rock,spotify:track:7sT621Iv8V6bMv6Z5B16PO,0.135,0.668,0.925,4.55E-06,0.983,-5.204,0.0901,0.537726257,0.352
The Superimposers,Sunshine Pops,Sometimes,"The Superimposers, Sometimes",spotify:track:7FBDWadYXSai8hgdxkkNZd,7FBDWadYXSai8hgdxkkNZd,psychedelic pop,pop,spotify:track:7FBDWadYXSai8hgdxkkNZd,0.713,0.51,0.494,0.00916,0.249,-7.961,0.0293,0.577425611,0.788
"Woe, Is Me",American Dream - EP,American Dream,"Woe, Is Me, American Dream",spotify:track:1cxaMlmp4AthvTmuxmI5V9,1cxaMlmp4AthvTmuxmI5V9,melodic metalcore|metalcore|post-screamo|screamo,metal,spotify:track:1cxaMlmp4AthvTmuxmI5V9,0.00432,0.517,0.973,5.35E-06,0.128,-1.928,0.0663,0.559719242,0.489
The Grapes Of Wrath,Now and Again,I'm Gone,"The Grapes Of Wrath, I'm Gone",spotify:track:0gVixin23B72sdE2dh2LdD,0gVixin23B72sdE2dh2LdD,canadian indie|canadian rock|kelowna bc indie,rock|indie,spotify:track:0gVixin23B72sdE2dh2LdD,0.0461,0.589,0.463,0.0109,0.0905,-12.947,0.0244,0.35349581,0.475
Sting,My Funny Valentine - Sting At The Movies,Englishman in New York,"Sting, Englishman in New York",spotify:track:4KFM3A5QF2IMcc6nHsu3Wp,4KFM3A5QF2IMcc6nHsu3Wp,permanent wave|soft rock,rock,spotify:track:4KFM3A5QF2IMcc6nHsu3Wp,0.396,0.674,0.347,1.05E-05,0.0916,-17.707,0.0364,0.456938989,0.647
The Handsome Family,Twilight,So Long,"The Handsome Family, So Long",spotify:track:283yEMfVTNEhyKm8aMRBWP,283yEMfVTNEhyKm8aMRBWP,albuquerque indie|alternative country|gothic americana,indie,spotify:track:283yEMfVTNEhyKm8aMRBWP,0.165,0.65,0.427,1.46E-05,0.0885,-10.098,0.0283,0.438730947,0.396
The Creepshow,2010 - They All Fall Down,Going Down,"The Creepshow, Going Down",spotify:track:3hiRcOmiZCLDged78cEUOr,3hiRcOmiZCLDged78cEUOr,canadian punk|canadian rockabilly|horror punk|psychobilly,rock,spotify:track:3hiRcOmiZCLDged78cEUOr,0.000961,0.512,0.943,0.00155,0.401,-2.672,0.062,0.515133055,0.62
Hatebreed,The Texas Chainsaw Massacre,Below The Bottom,"Hatebreed, Below The Bottom",spotify:track:7BKrffBXcgGUiyHUseMuxx,7BKrffBXcgGUiyHUseMuxx,alternative metal|connecticut hardcore|hardcore|industrial metal|melodic metalcore|metalcore|nu metal|rap rock,metal|rock|rap,spotify:track:7BKrffBXcgGUiyHUseMuxx,4.72E-05,0.518,0.931,0,0.0861,-4.747,0.0852,0.389683453,0.604
Holiday,Cafe Reggio,Candy,"Holiday, Candy",spotify:track:4E18v8nVzQCeZBAGMZOtCI,4E18v8nVzQCeZBAGMZOtCI,edm|partyschlager|pop house|tropical house,pop|edm,spotify:track:4E18v8nVzQCeZBAGMZOtCI,0.0027,0.796,0.926,0,0.0599,-4.925,0.0401,0.56451649,0.458
Kate Havnevik,Melankton,Kaleidoscope,"Kate Havnevik, Kaleidoscope",spotify:track:3oCq16wWOw43AhhyOEPBR0,3oCq16wWOw43AhhyOEPBR0,deep acoustic pop|etherpop,pop,spotify:track:3oCq16wWOw43AhhyOEPBR0,0.139,0.362,0.443,0.158,0.123,-11.44,0.0326,0.743613748,0.0774
Grandmaster Flash,Ba-Dop-Boom-Bang,We Will Rock You,"Grandmaster Flash, We Will Rock You",spotify:track:7sMvx9Aa3dLmPeM71Qkbj0,7sMvx9Aa3dLmPeM71Qkbj0,bronx hip hop|electro|old school hip hop,hip hop,spotify:track:7sMvx9Aa3dLmPeM71Qkbj0,0.00468,0.863,0.522,1.21E-05,0.355,-15.495,0.324,0.443174336,0.44
Matchbox Twenty,North,Put Your Hands Up,"Matchbox Twenty, Put Your Hands Up",spotify:track:3v7ezNQDjwQKATBv3ifSnd,3v7ezNQDjwQKATBv3ifSnd,neo mellow|pop rock|post-grunge,pop|rock,spotify:track:3v7ezNQDjwQKATBv3ifSnd,0.00497,0.452,0.876,0.734,0.202,-4.219,0.0774,0.560409043,0.0488
Owen Pallett,KEXP Song of the Day,Lewis Takes Action,"Owen Pallett, Lewis Takes Action",spotify:track:5tIMjXa4DzhLvSUFD93pL1,5tIMjXa4DzhLvSUFD93pL1,art pop|chamber pop|chamber psych|chillwave|freak folk,pop|folk,spotify:track:5tIMjXa4DzhLvSUFD93pL1,0.565,0.747,0.346,0.0462,0.551,-8.932,0.0393,0.551441638,0.639
Darkwell,Suspiria,Salvation,"Darkwell, Salvation",spotify:track:3R9fVqNhlKENrxMMrAs4kB,3R9fVqNhlKENrxMMrAs4kB,gothic metal|gothic symphonic metal,metal,spotify:track:3R9fVqNhlKENrxMMrAs4kB,0.000143,0.405,0.937,3.79E-05,0.194,-5.245,0.0462,0.627033007,0.383
Theatre Breaks Loose,The Way This Works,You And I,"Theatre Breaks Loose, You And I",spotify:track:05wIAsFaQ48fN1o7xGCtNy,05wIAsFaQ48fN1o7xGCtNy,okc indie,indie,spotify:track:05wIAsFaQ48fN1o7xGCtNy,0.286,0.578,0.715,0,0.279,-3.93,0.0309,0.582455779,0.606
I'm from Barcelona,Let Me Introduce My Friends,Jenny,"I'm from Barcelona, Jenny",spotify:track:40jg5iEvKI7g20Y8lJdQzu,40jg5iEvKI7g20Y8lJdQzu,swedish alternative rock|swedish indie pop,pop|rock|indie,spotify:track:40jg5iEvKI7g20Y8lJdQzu,0.842,0.631,0.784,0.0691,0.0739,-6.302,0.0288,0.537479899,0.855
Jason Falkner,Can You Still Feel,Honey,"Jason Falkner, Honey",spotify:track:0NHPMMYOkJY6H3Q3ofrHgN,0NHPMMYOkJY6H3Q3ofrHgN,jangle pop|power pop|underground power pop,pop,spotify:track:0NHPMMYOkJY6H3Q3ofrHgN,8.01E-05,0.398,0.799,1.66E-06,0.355,-7.272,0.0431,0.496660739,0.254
Therion,Live in Midgård,Summernight city,"Therion, Summernight city",spotify:track:4jpqFxY60NkVZIKJtqF7BS,4jpqFxY60NkVZIKJtqF7BS,gothic metal|gothic symphonic metal|metal|neo classical metal|opera metal|power metal|progressive metal|swedish metal|symphonic black metal|symphonic death metal|symphonic metal,classical|metal,spotify:track:4jpqFxY60NkVZIKJtqF7BS,0.000218,0.517,0.887,0.0692,0.229,-3.875,0.0342,0.474676712,0.346
Oso Leone,Oso Leone,Fire,"Oso Leone, Fire",spotify:track:3B7c29ihZiKaOHnMIqJ6pM,3B7c29ihZiKaOHnMIqJ6pM,indie catala,indie,spotify:track:3B7c29ihZiKaOHnMIqJ6pM,0.824,0.554,0.422,0.776,0.111,-14.851,0.0394,0.465440554,0.298
Natalia Kills,Perfectionist (Deluxe Version),Zombie,"Natalia Kills, Zombie",spotify:track:7xHa9iLhdbyJkdU5km9x3B,7xHa9iLhdbyJkdU5km9x3B,candy pop|dance pop|electropop|escape room|pop|post-teen pop,pop|dance,spotify:track:7xHa9iLhdbyJkdU5km9x3B,0.0092,0.453,0.771,0.657,0.243,-5.2,0.0877,0.823670903,0.437
Arctic Monkeys,MUSICA,Secret Door,"Arctic Monkeys, Secret Door",spotify:track:4dtP86vkhzwNXCFpCtizce,4dtP86vkhzwNXCFpCtizce,garage rock|modern rock|permanent wave|rock|sheffield indie,rock|indie,spotify:track:4dtP86vkhzwNXCFpCtizce,0.0314,0.323,0.806,1.11E-05,0.181,-6.554,0.0769,0.55817839,0.548
Agnes Obel,Philharmonics (Deluxe Edition),On Powdered Ground,"Agnes Obel, On Powdered Ground",spotify:track:21IVJavpjXr3Ic71JlJx3A,21IVJavpjXr3Ic71JlJx3A,chamber pop|focus,pop,spotify:track:21IVJavpjXr3Ic71JlJx3A,0.962,0.591,0.177,0.0835,0.0655,-11.571,0.0303,0.544077795,0.0952
Akercocke,Rape Of The Bastard Nazarene,Blood,"Akercocke, Blood",spotify:track:2SdOJYyMKW1YIrQqfrmo4J,2SdOJYyMKW1YIrQqfrmo4J,avant-garde metal|black metal|british black metal|british death metal|death metal|progressive black metal|technical black metal,metal,spotify:track:2SdOJYyMKW1YIrQqfrmo4J,1.55E-05,0.187,0.828,0.545,0.327,-8.262,0.0795,0.401884857,0.0387
The 88,How I Met Your Mother - HIMYM OST - Saison 1 (2005) Unofficial Soundtrack,You Belong to Me,"The 88, You Belong to Me",spotify:track:5TSz2XVImJFn2iXNt5jtvP,5TSz2XVImJFn2iXNt5jtvP,la indie,indie,spotify:track:5TSz2XVImJFn2iXNt5jtvP,0.902,0.476,0.282,1.52E-05,0.104,-8.98,0.0359,0.68075233,0.378
Anthrax,Spreading The Disease,Medusa,"Anthrax, Medusa",spotify:track:7qYHH6ygW9GeNY7SVWf9ok,7qYHH6ygW9GeNY7SVWf9ok,album rock|alternative metal|hard rock|metal|nu metal|old school thrash|rap metal|rock|speed metal|thrash metal,metal|rock|rap,spotify:track:7qYHH6ygW9GeNY7SVWf9ok,0.0247,0.334,0.814,0.000584,0.501,-14.175,0.0446,0.675538515,0.677
Bombay Bicycle Club,A Different Kind Of Fix [Bonus Tracks],Bad Timing,"Bombay Bicycle Club, Bad Timing",spotify:track:15B4Ov5uXiC9GAJMoADBJD,15B4Ov5uXiC9GAJMoADBJD,alternative dance|british indie rock|indie pop|indie rock|indietronica|modern rock|new rave|rock,pop|rock|indie|dance,spotify:track:15B4Ov5uXiC9GAJMoADBJD,9.34E-05,0.376,0.914,0.217,0.376,-5.89,0.0769,0.564552324,0.515
Return,Straight Down The Line,Russian Roulette,"Return, Russian Roulette",spotify:track:7HmvNKyn6coyJ7eTh2uEU7,7HmvNKyn6coyJ7eTh2uEU7,classic norwegian pop,pop,spotify:track:7HmvNKyn6coyJ7eTh2uEU7,0.302,0.554,0.73,0.00129,0.139,-10.883,0.037,0.505157825,0.602
Face Down,The Will To Power,Grey,"Face Down, Grey",spotify:track:0RCSefPJoz8pv3RpVy6s1d,0RCSefPJoz8pv3RpVy6s1d,rock of gibraltar,rock,spotify:track:0RCSefPJoz8pv3RpVy6s1d,0.00076,0.523,0.883,0,0.119,-4.644,0.0436,0.58291266,0.716
Lil' Wayne,Tha Carter,Get Down,"Lil' Wayne, Get Down",spotify:track:4YZOjtmvMRN2sxP4HeXsrt,4YZOjtmvMRN2sxP4HeXsrt,hip hop|new orleans rap|pop rap|rap|trap,hip hop|pop|rap,spotify:track:4YZOjtmvMRN2sxP4HeXsrt,0.134,0.711,0.818,1.56E-06,0.158,-3.043,0.235,0.398480648,0.764
Skog,demo'09,I,"Skog, I",spotify:track:5ptlQ41WTlD5XnA89MmApN,5ptlQ41WTlD5XnA89MmApN,pagan black metal|swedish black metal,metal,spotify:track:5ptlQ41WTlD5XnA89MmApN,7.67E-06,0.183,0.883,0.931,0.308,-9.857,0.0632,0.343592247,0.128
Die Toten Hosen,Alles wird vorübergehen,Rockaway Beach,"Die Toten Hosen, Rockaway Beach",spotify:track:05VdrHQxn29w29qOi4Q87x,05VdrHQxn29w29qOi4Q87x,german alternative rock|german pop|german punk|german rock,pop|rock,spotify:track:05VdrHQxn29w29qOi4Q87x,0.0165,0.222,0.977,1.59E-05,0.301,-3.208,0.11,0.892050723,0.408
Elliott,Photorecording,Carry On,"Elliott, Carry On",spotify:track:5UWsNRm2Kh8SCWMPEj9Ld0,5UWsNRm2Kh8SCWMPEj9Ld0,emo|emo punk|louisville indie|midwest emo,indie,spotify:track:5UWsNRm2Kh8SCWMPEj9Ld0,0.0407,0.552,0.723,0.439,0.346,-8.508,0.0248,0.448589717,0.463
Godhead - 2000 Years of Human Error,title,Eleanor Rigby,"Godhead - 2000 Years of Human Error, Eleanor Rigby",spotify:track:0AueyG7H7mDo9GPNV6zlE2,0AueyG7H7mDo9GPNV6zlE2,industrial metal|industrial rock|nu metal,metal|rock,spotify:track:0AueyG7H7mDo9GPNV6zlE2,0.000328,0.517,0.907,0.64,0.246,-4.384,0.0907,0.580628256,0.264
Phil Perry,Ready For Love,Desire,"Phil Perry, Desire",spotify:track:7D5l3hKpP3QS5FLndHTRDa,7D5l3hKpP3QS5FLndHTRDa,quiet storm|smooth jazz|smooth soul|urban contemporary,jazz|soul,spotify:track:7D5l3hKpP3QS5FLndHTRDa,0.685,0.614,0.623,0.0148,0.0669,-7.255,0.0482,0.404626142,0.776
Simon Finn,Rats Laugh Mice Sing,Expectations,"Simon Finn, Expectations",spotify:track:7KgcBUmEkOEQ1hCWlvE07o,7KgcBUmEkOEQ1hCWlvE07o,british folk|psychedelic folk,folk,spotify:track:7KgcBUmEkOEQ1hCWlvE07o,0.935,0.432,0.211,0.0593,0.163,-15.731,0.0418,0.913519639,0.411
Tangent,Going Off On One,21st Century Schizoid Man,"Tangent, 21st Century Schizoid Man",spotify:track:77sVGk18onv38b4CkZFV4t,77sVGk18onv38b4CkZFV4t,crossover prog|neo-progressive|progressive rock|symphonic rock,rock,spotify:track:77sVGk18onv38b4CkZFV4t,0.00425,0.291,0.879,0.0113,0.982,-6.929,0.0918,0.524512549,0.364
Boy,Broken Wings,Broken Wings,"Boy, Broken Wings",spotify:track:5arg4Inzbs5stD5i3BlUDN,5arg4Inzbs5stD5i3BlUDN,glam metal|hard rock|sleaze rock,metal|rock,spotify:track:5arg4Inzbs5stD5i3BlUDN,0.00141,0.375,0.685,1.65E-06,0.381,-5.963,0.0314,0.422892414,0.379
THE JOHANSSON BROTHERS,The Johansson Brothers,Stranded,"THE JOHANSSON BROTHERS, Stranded",spotify:track:0MwAALDxxlVqDIXStv1hEz,0MwAALDxxlVqDIXStv1hEz,neo classical metal,classical|metal,spotify:track:0MwAALDxxlVqDIXStv1hEz,0.00686,0.577,0.867,4.20E-05,0.513,-8.445,0.0316,0.560350813,0.401
Odd Nosdam,CIRCUS faux PREZ beats!,3,"Odd Nosdam, 3",spotify:track:604US2wAcioeUHIi6dcHYo,604US2wAcioeUHIi6dcHYo,abstract hip hop,hip hop,spotify:track:604US2wAcioeUHIi6dcHYo,0.981,0.557,0.493,0.916,0.163,-8.748,0.0733,0.351542868,0.633
Hoobastank,Every Man for Himself (Red Cover),If Only,"Hoobastank, If Only",spotify:track:7vDHr1fwofSkLyD7FuDg6g,7vDHr1fwofSkLyD7FuDg6g,alternative metal|funk metal|nu metal|pop punk|pop rock|post-grunge,metal|pop|rock,spotify:track:7vDHr1fwofSkLyD7FuDg6g,0.0012,0.387,0.869,0,0.173,-4.183,0.0429,0.697903276,0.371
Kataklysm,Epic - The Poetry Of War,Wounds,"Kataklysm, Wounds",spotify:track:6Y7mS1SJQUuYLkHZSqORY7,6Y7mS1SJQUuYLkHZSqORY7,brutal death metal|canadian metal|death metal|groove metal|melodic death metal|metal|quebec death metal|technical melodic death metal,metal,spotify:track:6Y7mS1SJQUuYLkHZSqORY7,2.50E-05,0.326,0.995,0.472,0.105,-3.641,0.111,0.631834735,0.114
Eric Bibb; Michael Jerome Browne,Friends,Connected,"Eric Bibb; Michael Jerome Browne, Connected",spotify:track:1HvQ0VbS6ZZXnhG22Bpr0O,1HvQ0VbS6ZZXnhG22Bpr0O,acoustic blues|blues|country blues|electric blues|modern blues|piedmont blues,blues|edm,spotify:track:1HvQ0VbS6ZZXnhG22Bpr0O,0.947,0.559,0.237,0.151,0.112,-15.186,0.0401,0.897112245,0.644
